CAS Number,Name,WSol (mg/L),WS Temp,WS type,Wsol Reference,VP (mm Hg),VP Temp,VP type,VP Reference,HenryLC (atm-m3/mole),HLC Temp,HLC type,HenryLC Reference
50-00-0,FORMALDEHYDE,400000.0,20.0,EXP,"PICKRELL,JA ET AL. (1983)",3890.0,25.0,EXT,"BOUBLIK,T ET AL. (1984)",3.37e-07,25.0,EXP,"BETTERTON,EA & HOFFMAN,MR (1988)"
50-21-5,LACTIC ACID,1000000.0,,EXP,MERCK INDEX (2001),0.0813,25.0,EXP,"DAUBERT,TE & DANNER,RP (1989)",8.13e-08,25.0,EST,VP/WSOL
50-29-3,"P,P'-DDT",0.0055,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",1.6e-07,20.0,EXP,"BIDLEMAN,TF & FOREMAN,WT (1987)",8.32e-06,25.0,EXP,"ALTSCHUH,J ET AL. (1999)"
50-31-7,"2,3,6-TRICHLOROBENZOIC ACID",7700.0,22.0,EXP,"MARTIN,H & WORTHING,CR (1977)",0.00055,25.0,EXP,"FREAR,DS (1976)",2.12e-08,25.0,EST,VP/WSOL
50-32-8,BENZO(A)PYRENE,0.00162,25.0,EXP,"MAY,WE ET AL. (1983)",5.49e-09,25.0,EXT,"MURRAY,JJ ET AL. (1974)",4.57e-07,25.0,EXP,"TEN HULSCHER,TEM ET AL. (1992)"
50-36-2,COCAINE,1800.0,22.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",1.91e-07,25.0,EXP,"LAWRENCE,AH ET AL. (1984)",4.24e-11,25.0,EST,VP/WSOL
50-65-7,NICLOSAMIDE,1.6,20.0,EXP,"TOMLIN,C (1997)",1.49e-11,20.0,EXP,"TOMLIN,C (1994)",4e-12,20.0,EST,VP/WSOL
50-78-2,ACETYLSALICYLIC ACID,4600.0,25.0,EXP,"YALKOWSKY,SH & DANNENFELSER,RM (1992)",2.52e-05,25.0,EXP,"EISENREICH,SJ ET AL. (1981)",1.3e-09,25.0,EST,VP/WSOL
51-28-5,"2,4-DINITROPHENOL",2790.0,20.0,EXP,"SCHWARZENBACH,RP ET AL. (1988)",0.00039,20.0,EXP,"SCHWARZENBACH,RP ET AL. (1988)",8.6e-08,20.0,EXP,"TREMP,J ET AL. (1993)"
51-75-2,Mechlorethamine,12000.0,25.0,EXP,BEILSTEIN,0.17,25.0,EXP,"OPRESKO,DM ET AL. (1998)",2.91e-06,25.0,EST,VP/WSOL
51-79-6,O-ETHYL CARBAMATE (URETHANE),480000.0,15.0,EXP,"SEIDELL,A (1941)",0.262,25.0,EXT,"PERRY,RH & GREEN,D (1984)",6.43e-08,25.0,EST,VP/WSOL
