CASRN,Set,Mol Formula,Chem Name,logKow_exp,logKow_pred,Residual,Reference
50-00-0,S,C1H2O1,Formaldehyde,0.35,0.35,0.0,"Hansch,C et al. (1995)"
50-02-2,T,C22H29F1O5,Dexamethasone,1.83,1.72,-0.11,"Hansch,C et al. (1995)"
50-03-3,T,C23H32O6,Hydrocortisone acetate,2.19,2.36,0.17,"Hansch,C et al. (1995)"
50-04-4,T,C23H30O6,Cortisone acetate,2.1,2.14,0.04,"Hansch,C et al. (1995)"
50-06-6,T,C12H12N2O3,Phenobarital,1.47,1.33,-0.14,"Hansch,C et al. (1995)"
50-07-7, ,C15H18N4O5,Mitomycin C,-0.4,-1.18,-0.78,"Hansch,C et al. (1995)"
50-11-3,T,C9H14N2O3,Metharbital,1.15,0.82,-0.33,"Hansch,C et al. (1995)"
50-12-4,N,C12H14N2O2,Mesantoin,1.69,1.65,-0.04,Sangster (1994)
50-18-0,T,C7H15CL2N2O2P1,Cyclophosphamide,0.63,0.97,0.34,"Hansch,C et al. (1995)"
50-21-5,T,C3H6O3,Lactic acid,-0.72,-0.65,0.07,"Hansch,C et al. (1995)"
50-22-6,T,C21H30O4,Corticosterone,1.94,1.99,0.05,"Hansch,C et al. (1995)"
50-23-7,T,C21H30O5,Hydrocortisone,1.61,1.62,0.01,"Hansch,C et al. (1995)"
50-24-8,T,C21H28O5,Prednisolone,1.62,1.4,-0.22,"Hansch,C et al. (1995)"
50-27-1,N,C18H24O3,Estriol,2.45,2.81,0.36,"Hansch,C et al. (1995)"
50-28-2,N,C18H24O2,Estradiol,4.01,3.94,-0.07,"Hansch,C et al. (1995)"
50-29-3, ,C14H9CL5,"p,p'-DDT",6.91,6.79,-0.12,"Hansch,C et al. (1995)"
50-30-6,T,C7H4CL2O2,"2,6-Dichlorobenzoic acid",2.23,2.06,-0.17,"Hansch,C et al. (1995)"
50-32-8,T,C20H12,Benzo(a)pyrene,6.13,6.11,-0.02,"De Maagd,PG et al. (1998)"
50-33-9,T,C19H20N2O2,Phenylbutazone,3.16,3.52,0.36,Sangster (1994)
50-35-1, ,C13H10N2O4,Thalidomide,0.33,-0.24,-0.57,"Hansch,C et al. (1995)"
