CAS,Name,Mol Wt,Boiling Pt (deg C),Reference
50-00-0,FORMALDEHYDE,30.0265,-19.1,
50-07-7,MITOMYCIN C,334.3345,534,
50-32-8,BENZO(A)PYRENE,252.3186,495,
50-79-3,"2,5-DICHLOROBENZOIC ACID",191.0147,301,
51-17-2,BENZIMIDAZOLE,118.1393,>360,
51-64-9,DEXTROAMPHETAMINE,135.2107,203,
51-66-1,P-METHOXYACETANILIDE,165.1935,335,
51-79-6,O-ETHYL CARBAMATE (URETHANE),89.0947,185,
51-80-9,"Methanediamine, N,N,N',N'-tetramethyl-",102.1807,83,
53-16-7,ESTRONE,270.3748,154,
53-70-3,"DIBENZ(A,H)ANTHRACENE",278.3569,524,
53-96-3,N-2-FLUORENYLACETAMIDE,223.277,303,
54-11-5,NICOTINE,162.2365,247,
54-49-9,METARAMINOL,167.2095,218,
55-18-5,N-NITROSODIETHYLAMINE,102.1371,176.9,
55-21-0,BENZAMIDE,121.1399,290,
55-63-0,"1,2,3-PROPANETRIOL TRINITRATE",227.088,250,
55-91-4,ISOFLUROPHATE,184.1489,183,
56-23-5,CARBON TETRACHLORIDE,153.8232,76.8,
56-38-2,PARATHION,291.2646,375,
56-55-3,BENZ(A)ANTHRACENE,228.2963,437.6,
56-81-5,GLYCEROL,92.0954,290,
57-06-7,3-ISOTHIOCYANATO-1-PROPENE,99.1551,152,
57-10-3,PALMITIC ACID,256.4322,351.5,
57-11-4,STEARIC ACID,284.4864,383,
57-14-7,"1,1-DIMETHYLHYDRAZINE",60.0995,63.9,
57-15-8,"B,B,B-TRICHLORO-T-BUTANOL",177.4588,167,
57-55-6,"1,2-PROPANEDIOL",76.096,187.6,
57-57-8,BETA-PROPIOLACTONE,72.0641,162,
57-71-6,"2,3-Butanedione, monooxime",101.1059,185.5,
57-88-5,CHOLESTEROL,386.6671,360      ,
58-89-9,GAMMA-HEXACHLOROCYCLOHEXANE,290.8327,323.4,
59-26-7,NIKETHAMIDE,178.2359,298  ,
59-49-4,O-PHENYLENE CARBAMATE,135.1234,335,
59-50-7,3-METHYL-4-CHLOROPHENOL,142.5862,235,
59-89-2,N-NITROSOMORPHOLINE,116.1206,225,
60-01-5,TRIBUTYRIN,302.3709,307.5,
60-09-3,P-PHENYLAZOANILINE,197.2416,366,Merck Index
60-12-8,2-PHENYLETHANOL,122.1683,218.2,
60-24-2,"Ethanol, 2-mercapto-",78.1335,158,CRC Handbook
60-29-7,DIETHYL ETHER,74.1237,34.6,Merck Index
60-33-3,LINOLEIC ACID,280.4545,365.2,
60-34-4,METHYL HYDRAZINE,46.0724,87.5,
60-35-5,ACETAMIDE,59.0683,222,
