CAS,Name,Mol Wt,Melt Pt (deg C),Reference
50-00-0,FORMALDEHYDE,30.0265,-92,
50-01-1,Guanidine hydrochloride,95.5321,182.3,
50-02-2,DEXAMETHASONE,392.4718,262-264,Merck Index
50-03-3,HYDROCORTISONE ACETATE,404.5079,223 dec,
50-04-4,CORTISONE ACETATE,402.492,222   ,
50-06-6,PHENOBARBITAL,232.241,174,
50-07-7,MITOMYCIN C,334.3345,>360,
50-10-2,Oxyphenonium bromide,428.414,191.5,
50-11-3,METHARBITAL,198.2235,150.5,
50-12-4,MEPHENYTOIN,218.2576,136.5,Merck Index
50-13-5,MEPERIDINE,283.8011,187.5,
50-14-6,Vitamin D2,396.6623,116.5,
50-18-0,CYCLOPHOSPHAMIDE,261.0896,51.5,
50-19-1,HYDROXYPHENAMATE,209.2471,55.0,
50-21-5,LACTIC ACID,90.0795,16.8      ,Merck Index (2001)
50-22-6,CORTICOSTERONE,346.4708,181,
50-23-7,HYDROCORTISONE,362.4703,218.5,Merck Index (2001)
50-24-8,PREDNISOLONE,360.4543,235 dec,Hawley
50-27-1,ESTRIOL,288.3902,282,
50-28-2,ESTRADIOL,272.3908,178.5,
50-29-3,"P,P'-DDT",354.4928,108.5,
50-30-6,"2,6-DICHLOROBENZOIC ACID",191.0147,144,
50-31-7,"2,3,6-TRICHLOROBENZOIC ACID",225.4598,124.5,
50-32-8,BENZO(A)PYRENE,252.3186,176.5,
50-33-9,PHENYLBUTAZONE,308.3835,105       ,
50-34-0,Propantheline bromide,448.4045,159.5,
50-35-1,THALIDOMIDE,258.2356,270,
50-36-2,COCAINE,303.3612,98,
50-37-3,LSD,323.4418,82.5     ,
50-39-5,Protheobromine,238.2481,141,
50-42-0,Adiphenine,311.4278,113.5,
50-43-1,"2,4,6-Trichlorobenzoic acid",225.4598,160-164,Aldrich (1998)
50-44-2,6-PURINETHIOL HYDRATE,152.1784,313 dec,
50-45-3,"Benzoic acid, 2,3-dichloro-",191.0147,169,ALDRICH (2003)
50-48-6,AMITRYPTYLINE,277.413,196.5   ,
50-49-7,IMIPRAMINE,280.4165,174.5   ,
50-50-0,Estradiol benzoate,376.5001,196,
50-52-2,THIORIDAZINE,370.5828,73,
50-53-3,CHLORPROMAZINE,318.8714,< 25,
50-55-5,RESERPINE,608.6948,264.5,
50-60-2,Phentolamine,281.3605,174.5,
50-62-4,Hexobendine dihydrochloride,592.6926,170-174,Merck Index (2001)
50-63-5,Chloroquine phosphate [USAN:BAN],515.8716,>200 dec,Aldrich (1998)
50-65-7,NICLOSAMIDE,327.1257,230,
50-67-9,5-HYDROXYTRYPTAMINE,176.2199,167.5   ,
50-69-1,RIBOSE,150.1325,95,
50-70-4,SORBITOL,182.1749,11,
50-71-5,ALLOXANE,142.0715,256 dec,CRC Handbook
50-73-7,"Benzoic acid, 2,3,5-trichloro-",225.4598,166.5,ALDRICH (2003)
50-74-8,"Benzoic acid, 2,3,4,5-tetrachloro-",259.9048,194.5,"Lide, DR ET AL (1994)"
50-78-2,ACETYLSALICYLIC ACID,180.1617,135,
50-79-3,"2,5-DICHLOROBENZOIC ACID",191.0147,154.4,
50-81-7,ASCORBIC ACID,176.1271,191 dec,
50-82-8,"2,4,5-TRICHLOROBENZOIC ACID",225.4598,166.5,
50-84-0,"2,4-DICHLOROBENZOIC ACID",191.0147,164.2,
50-85-1,4-METHYLSALICYLIC ACID,152.1512,177,
50-89-5,THYMIDINE,242.2335,186.5,
50-91-9,FLOXURIDINE,246.1968,150.5   ,
50-98-6,Ephedrine HCl (L-form),201.6981,218,
50-99-7,GLUCOSE,180.1589,83        ,
51-02-5,Pronethalol hydrochloride,229.3248,184,Merck Index (2001)
51-03-6,PIPERONYL BUTOXIDE,338.448,< 25,
51-05-8,PROCAINE HYDROCHLORIDE,272.7775,155.5,
51-12-7,NIALAMIDE,298.3475,151.6,
51-14-9,SESAMEX,298.339,< 25,
51-15-0,Pralidoxime Chloride,174.6315,236.5 dec,
51-17-2,BENZIMIDAZOLE,118.1393,170.5,
51-20-7,5-BROMOURACIL,190.9847,310,
51-21-8,5-FLUOROURACIL,130.0791,283,
51-24-1,Tiratricol,621.9386,181.5,
