CAS,Name,MW,VP (mm Hg),log VP,Estimate VP (mm Hg),log VP est,Error,VP temp (degC),VP type,Reference
50-00-0,FORMALDEHYDE,30.026,3886.0,3.5895027962638,3490.0,3.5428254269592,-0.0466773693046001,25,EXT,"BOUBLIK,T ET AL. (1984)"
50-21-5,LACTIC ACID,90.079,0.0813,-1.0899094544059,0.0286,-1.543633966871,-0.4537245124651,25,EXP,"DAUBERT,TE & DANNER,RP (1989)"
50-29-3,"P,P'-DDT",354.49,1.6e-07,-6.7958800173441,7.47e-06,-5.1266793981846,1.6692006191595,20,EXP,"BIDLEMAN,TF & FOREMAN,WT (1987)"
50-31-7,"2,3,6-TRICHLOROBENZOIC ACID",225.46,0.00055,-3.2596373105058,5.63e-05,-4.2494916051487,-0.9898542946429,25,EXP,"FREAR,DS (1976)"
50-32-8,BENZO(A)PYRENE,252.32,5.49e-09,-8.2604276555499,9.82e-10,-9.0078885122131,-0.747460856663199,25,EXT,"MURRAY,JJ ET AL. (1974)"
50-36-2,COCAINE,303.36,1.91e-07,-6.7189666327523,1.29e-05,-4.8894102897008,1.8295563430515,25,EXP,"LAWRENCE,AH ET AL. (1984)"
50-45-3,"Benzoic acid, 2,3-dichloro-",191.01,0.000228,-3.6420651529995,5.95e-05,-4.2254830342715,-0.583417881272,25,EXT,"DOLFING,J & HARRISON,BK (1992)"
50-65-7,NICLOSAMIDE,327.13,1.49e-11,-10.826813731588,1.49e-11,-10.826813731588,0.0,20,EXP,"TOMLIN,C (1994)"
50-73-7,"Benzoic acid, 2,3,5-trichloro-",225.46,0.000311,-3.5072396109732,1.92e-05,-4.7166987712965,-1.2094591603233,25,EXT,"DOLFING,J & HARRISON,BK (1992)"
50-78-2,ACETYLSALICYLIC ACID,180.16,2.52e-05,-4.5985994592185,6.56e-05,-4.1830961606243,0.4155032985942,25,EXP,"EISENREICH,SJ ET AL. (1981)"
51-28-5,"2,4-DINITROPHENOL",184.11,0.00039,-3.4089353929735,1.29e-05,-4.8894102897008,-1.4804748967273,20,EXP,"SCHWARZENBACH,RP ET AL. (1988)"
51-75-2,Mechlorethamine,156.06,0.17,-0.769551078621726,0.528,-0.277366077466188,0.492185001155538,25,EXP,"OPRESKO,DM ET AL. (1998)"
51-79-6,O-ETHYL CARBAMATE (URETHANE),89.095,0.2621,-0.5815329790534,0.415,-0.381951903287907,0.199581075765493,25,EXT,"PERRY,RH & GREEN,D (1984)"
52-51-7,"1,3-Propanediol, 2-bromo-2-nitro-",199.99,1.26e-05,-4.8996294548824,6.06e-06,-5.2175273758337,-0.3178979209513,20,EXP,"TOMLIN,C (1997)"
52-68-6,TRICHLORFON,257.44,7.8e-06,-5.1079053973095,6.94e-05,-4.1586405295451,0.949264867764399,20,EXP,"FREED,VH ET AL. (1977)"
53-19-0,"O,P'-DDD",320.05,1.94e-06,-5.7121982700698,1.69e-05,-4.7721132953863,0.9400849746835,30,EXP,"SUNTIO,LR ET AL. (1988)"
53-70-3,"DIBENZ(A,H)ANTHRACENE",278.36,9.55e-10,-9.0199966284163,1.39e-11,-10.856985199746,-1.8369885713297,25,EXT,"LEI,YD ET AL. (2002)"
54-11-5,NICOTINE,162.24,0.038,-1.4202164033832,0.032,-1.4948500216801,-0.0746336182968999,25,EXT,"BOUBLIK,T ET AL. (1984)"
55-18-5,N-NITROSODIETHYLAMINE,102.14,0.86,-0.0655015487564323,1.53,0.184691430817599,0.250192979574031,20,EXP,"KLEIN,RG (1982)"
55-38-9,FENTHION,278.33,1.05e-05,-4.9788107009301,0.000138,-3.8601209135988,1.1186897873313,25,EXP,"TOMLIN,C (1997)"
55-63-0,"1,2,3-PROPANETRIOL TRINITRATE",227.09,0.0004,-3.397940008672,0.0272,-1.5654310959658,1.8325089127062,25,EXT,"KEMP,MD ET AL. (1957)"
55-91-4,ISOFLUROPHATE,184.15,0.579,-0.237321436272564,0.834,-0.0788339493622613,0.158487486910303,20,EXP,MERCK INDEX (1996)
56-23-5,CARBON TETRACHLORIDE,153.82,115.0,2.0606978403536,99.5,1.9978230807457,-0.0628747596078998,25,EXP,"BOUBLIK,T ET AL. (1984)"
56-35-9,BIS(TRI-N-BUTYLTIN) OXIDE,596.08,7.5e-06,-5.1249387366083,7.8e-06,-5.1079053973095,0.0170333392988002,20,EXP,"BLUNDEN,SJ ET AL. (1984)"
56-36-0,Tributyl tin acetate,349.08,0.0027,-2.568636235841,0.000235,-3.6289321377283,-1.0602959018873,20,EXP,"BLUNDEN,SJ ET AL. (1984)"
56-38-2,PARATHION,291.26,6.68e-06,-5.1752235375245,3.34e-05,-4.4762535331884,0.6989700043361,20,EXP,"TOMLIN,C (1997)"
56-49-5,3-METHYLCHOLANTHRENE,268.36,4.3e-08,-7.3665315444204,2.34e-08,-7.6307841425899,-0.264252598169501,25,EXT,"LEI,YD ET AL. (2002)"
56-55-3,BENZ(A)ANTHRACENE,228.3,2.1e-07,-6.6777807052661,2.72e-07,-6.5654310959658,0.1123496093003,25,EXP,"SONNEFELD,WJ ET AL. (1983)"
56-72-4,COUMAPHOS,362.77,9.7e-08,-7.0132282657338,8.34e-08,-7.0788339493623,-0.0656056836285002,20,EXP,"TOMLIN,C (1997)"
56-81-5,GLYCEROL,92.095,0.000168,-3.7746907182741,7.98e-05,-4.0979971086493,-0.3233063903752,25,EXP,"DAUBERT,TE & DANNER,RP (1989)"
56-86-0,GLUTAMIC ACID,147.13,1.7e-08,-7.7695510786217,1.1e-06,-5.9586073148418,1.8109437637799,25,EXT,"DAUBERT,TE & DANNER,RP (1989)"
56-87-1,LYSINE,146.19,5.284e-09,-8.2770371910575,4.6e-09,-8.3372421683184,-0.0602049772609004,25,EXT,"DAUBERT,TE & DANNER,RP (1989)"
57-06-7,3-ISOTHIOCYANATO-1-PROPENE,99.155,3.698,0.567966906823154,3.65,0.562292864456475,-0.00567404236667901,30,EXP,"BOUBLIK,T ET AL. (1984)"
57-10-3,PALMITIC ACID,256.43,3.8e-07,-6.4202164033832,5.52e-05,-4.2580609222708,2.1621554811124,25,EXT,"DAUBERT,TE & DANNER,RP (1989)"
57-11-4,STEARIC ACID,284.49,7.221e-07,-6.1414026550053,8.31e-06,-5.0803989762159,1.0610036787894,25,EXT,"DAUBERT,TE & DANNER,RP (1989)"
57-13-6,UREA,60.056,1.2e-05,-4.9208187539524,0.208,-0.681936665037238,4.2388820889152,25,EXT,"JONES,AH (1960)"
57-14-7,"1,1-DIMETHYLHYDRAZINE",60.099,163.0,2.212187604404,168.0,2.2253092817259,0.0131216773219003,25,EXP,"SCHIESSL,HW (1995)"
57-55-6,"1,2-PROPANEDIOL",76.096,0.129,-0.889410289700751,0.111,-0.954677021213343,-0.065266731512592,25,EXP,"DAUBERT,TE & DANNER,RP (1989)"
57-74-9,CHLORDANE,409.78,9.75e-06,-5.0109953843015,2e-05,-4.698970004336,0.3120253799655,25,EXP,"TOMLIN,C (1994)"
58-86-6,D-Xylose,150.13,1.97e-10,-9.7055337738384,7.5e-07,-6.1249387366083,3.5805950372301,25,EXT,"OJA,V & SUUBERG (1999)"
58-89-9,GAMMA-HEXACHLOROCYCLOHEXANE,290.83,4.2e-05,-4.3767507096021,0.000506,-3.2958494831602,1.0809012264419,20,EXP,"TOMLIN,C (1997)"
58-90-2,"2,3,4,6-TETRACHLOROPHENOL",231.89,0.000666,-3.1765257708297,0.000489,-3.3106911408764,-0.1341653700467,25,EXT,"BIDLEMAN,TF & RENBERG,L (1985)"
59-50-7,3-METHYL-4-CHLOROPHENOL,142.59,0.05,-1.301029995664,0.0103,-1.9871627752948,-0.6861327796308,20,EXP,"MABEY,WR ET AL. (1981)"
59-52-9,"1-Propanol, 2,3-dimercapto-",124.22,0.005,-2.301029995664,0.0147,-1.8326826652518,0.4683473304122,25,EXT,MERCK INDEX (1996)
60-00-4,ETHYLENEDIAMINE TETRAACETIC ACID,292.25,1.5e-12,-11.823908740944,3.77e-12,-11.423658649794,0.400250091150001,25,EXT,"DAUBERT,TE & DANNER,RP (1999)"
60-09-3,P-PHENYLAZOANILINE,197.24,1.4e-06,-5.8538719643218,5.26e-06,-5.2790142558463,0.5748577084755,25,EXT,"SHIMIZU,T ET AL. (1987)"
60-11-7,"4-(N,N-DIMETHYLAMINO)AZOBENZENE",225.3,7e-08,-7.1549019599857,3.72e-05,-4.4294570601181,2.7254448998676,25,EXT,"CAMPANELLI,AR ET AL. (1985)"
60-12-8,2-PHENYLETHANOL,122.17,0.0868,-1.0614802748235,0.0243,-1.6143937264017,-0.5529134515782,25,EXP,"DAUBERT,TE & DANNER,RP (1989)"
60-24-2,"Ethanol, 2-mercapto-",78.134,1.756,0.244524511570084,0.861,-0.0649968485463452,-0.309521360116429,25,EXP,"DAUBERT,TE & DANNER,RP (1996)"
60-29-7,DIETHYL ETHER,74.124,538.0,2.7307822756664,539.0,2.7315887651867,0.000806489520300158,25,EXP,"DAUBERT,TE & DANNER,RP (1995)"
60-33-3,LINOLEIC ACID,280.45,8.68e-07,-6.0614802748235,5.74e-05,-4.241088107602,1.8203921672215,25,EXT,"DAUBERT,TE & DANNER,RP (1991)"
60-34-4,METHYL HYDRAZINE,46.072,50.0,1.698970004336,63.7,1.8041394323354,0.1051694279994,25,EXP,"BOUBLIK,T ET AL. (1984)"
60-35-5,ACETAMIDE,59.068,0.04,-1.397940008672,0.0323,-1.4907974776689,-0.0928574689969,25,EXT,"DAUBERT,TE & DANNER,RP (1989)"
60-51-5,DIMETHOATE,229.26,1.875e-05,-4.7269987279363,4.12e-05,-4.3851027839669,0.3418959439694,25,EXP,"TOMLIN,C (2003)"
60-57-1,DIELDRIN,380.91,5.89e-06,-5.2298847052129,2.74e-06,-5.5622494371796,-0.3323647319667,25,EXP,"GRAYSON,BT & FOSBRAEY,LA (1982)"
61-82-5,AMITROLE,84.081,4.4e-07,-6.3565473235138,0.000735,-3.1337126609158,3.222834662598,25,EXP,USEPA RED; (1996)
62-38-4,PHENYLMERCURIC ACETATE,336.74,6e-06,-5.2218487496164,0.000157,-3.8041003475908,1.4177484020256,20,EXP,"SUNTIO,LR ET AL. (1988)"
62-44-2,P-PHENACETIN,179.22,6.92e-07,-6.1598939055432,0.00273,-2.5638373529592,3.596056552584,25,EXP,"WIEDEMANN,HG (1972)"
62-50-0,ETHYL METHANESULFONATE,124.16,0.206,-0.686132779630847,0.183,-0.737548910269571,-0.0514161306387241,25,EXP,"JABER,HM ET AL. (1984B)"
62-53-3,ANILINE,93.129,0.49,-0.309803919971486,0.791,-0.101823516502323,0.207980403469163,25,EXP,"DAUBERT,TE & DANNER,RP (1985)"
62-56-6,THIOUREA,76.12,0.0028,-2.5528419686578,0.0585,-1.2328441339178,1.31999783474,25,EXT,"DAUBERT,TE & DANNER,RP (1989)"
62-73-7,DICHLORVOS,220.98,0.01575,-1.8027194418744,0.0631,-1.1999706407559,0.6027488011185,25,EXP,"TOMLIN,C (1994)"
62-75-9,N-NITROSODIMETHYLAMINE,74.083,2.7,0.431363764158987,4.3,0.633468455579587,0.2021046914206,20,EXP,"KLEIN,RG (1982)"
63-25-2,1-NAPHTHYL-N-METHYLCARBAMATE,201.23,1.36e-06,-5.8664610916298,5.33e-05,-4.2732727909734,1.5931883006564,25,EXP,"FERREIRA,GAL & SEIBER,JN (1981)"
63-75-2,ARECOLINE,155.2,0.0791,-1.1018235165023,0.23,-0.638272163982407,0.463551352519893,25,EXT,MERCK INDEX (1996)
64-17-5,ETHANOL,46.07,59.26,1.772761647144,60.9,1.7846172926329,0.0118556454889001,25,EXP,"DAUBERT,TE & DANNER,RP (1985)"
64-18-6,FORMIC ACID,46.026,42.59,1.6293076400737,35.9,1.5550944485783,-0.0742131914954001,25,EXP,"DAUBERT,TE & DANNER,RP (1985)"
64-19-7,ACETIC ACID,60.053,15.73,1.1967287226233,17.2,1.2355284469075,0.0387997242842,25,EXP,"DAUBERT,TE & DANNER,RP (1985)"
64-67-5,DIETHYL SULFATE,154.19,0.212,-0.673664139071249,0.241,-0.617982957425132,0.055681181646117,25,EXP,"DAUBERT,TE & DANNER,RP (1991)"
65-85-0,BENZOIC ACID,122.12,0.0007,-3.1549019599857,0.00298,-2.5257837359237,0.629118224062,25,EXP,"MCEACHERN,DM & SANDOVAL,O (1973)"
66-22-8,URACIL,112.09,4.67e-05,-4.3306831194339,1.43e-08,-7.8446639625349,-3.513980843101,25,EXT,"BRUNETTI,B ET AL. (2000)"
